day,day2,time,open_at_915,top,bottom,close_at_915,expiry_date,strike_price,right,target,SL,input_price,exit_price,PL,trade,month,year,day_max,PL_TLSL,Result,,
08-02-2018,Thursday,10:03,25759.8,25759.8,25699.7,25699.7,15-Feb-18,25800,PE,50,25,309.1,255.35,53.75,T28,2,2018,53.75,53.75,1,,
09-02-2018,Friday,11:15,25466.3,25517,25417,25467.7,22-Feb-18,25400,CE,100,50,482.5,535,-52.5,T29,2,2018,14.85,-35.15,0,,
12-02-2018,Monday,11:03,25530.1,25611.4,25530.1,25611.4,22-Feb-18,25600,PE,50,25,375,410.2,-35.2,T30,2,2018,19.65,-5.35,0,,
14-02-2018,Wednesday,10:03,25810.2,25810.2,25685.6,25685.6,22-Feb-18,25600,CE,62.3,31.15,328.95,266,62.95,T31,2,2018,62.95,62.95,1,,
15-02-2018,Thursday,10:03,25360.9,25435.3,25335.3,25409.7,22-Feb-18,25500,PE,100,50,270.75,328.65,-57.9,T32,2,2018,46.95,-3.05,0,,
16-02-2018,Friday,10:03,25511.9,25588.8,25511.9,25588.8,01-Mar-18,25400,CE,50,25,333.25,279.85,53.4,T33,2,2018,53.4,53.4,1,,
19-02-2018,Monday,10:03,25324.6,25324.6,25116.7,25116.7,01-Mar-18,25000,CE,103.95,51.975,302.05,359.35,-57.3,T34,2,2018,52.05,0.075,1,,
20-02-2018,Tuesday,10:12,25105.6,25105.6,24966.4,24966.4,01-Mar-18,25100,PE,69.6,34.8,288.95,337.75,-48.8,T35,2,2018,24.95,-9.85,0,,
21-02-2018,Wednesday,10:03,24996.6,24996.6,24928.7,24928.7,01-Mar-18,24900,CE,50,25,250.9,278.6,-27.7,T36,2,2018,47.7,22.7,1,,
22-02-2018,Thursday,10:09,24812.7,24863.05,24763.05,24813.4,01-Mar-18,24900,PE,100,50,240,201.1,38.9,T37,2,2018,48.25,38.9,1,,
26-02-2018,Monday,10:03,25452,25501.3,25401.3,25450.6,08-Mar-18,25500,PE,100,50,220.2,167,53.2,T39,2,2018,69.2,53.2,1,,
27-02-2018,Tuesday,10:03,25684.6,25720.8,25620.8,25657,08-Mar-18,25500,CE,100,50,248.8,175.9,72.9,T40,2,2018,76.8,72.9,1,,
28-02-2018,Wednesday,10:03,25116.2,25116.2,25054.4,25054.4,08-Mar-18,25000,CE,50,25,262.2,288.15,-25.95,T41,2,2018,0.2,-24.8,0,,
01-03-2018,Thursday,14:42,25022.3,25144.2,25022.3,25144.2,08-Mar-18,25000,CE,60.95,30.475,202.5,140.95,61.55,T42,3,2018,61.55,61.55,1,,
05-03-2018,Monday,10:03,24831.3,24831.3,24755.3,24755.3,15-Mar-18,24800,PE,50,25,330,360,-30,T43,3,2018,0,-25,0,,
06-03-2018,Tuesday,10:12,24964.1,25036.65,24936.65,25009.2,15-Mar-18,24900,CE,100,50,310,189.85,120.15,T44,3,2018,120.15,120.15,1,,
07-03-2018,Wednesday,10:39,24333.8,24377.95,24277.95,24322.1,15-Mar-18,24200,CE,100,50,300.05,250.15,49.9,T45,3,2018,70.25,49.9,1,,
08-03-2018,Thursday,10:03,24273.9,24326.65,24226.65,24279.4,15-Mar-18,24100,CE,100,50,265.25,320.55,-55.3,T46,3,2018,34.45,-15.55,0,,
09-03-2018,Friday,10:03,24556.9,24556.9,24471.9,24471.9,22-Mar-18,24500,CE,50,25,335.65,279.95,55.7,T47,3,2018,55.7,55.7,1,,
12-03-2018,Monday,10:06,24443.6,24470.15,24370.15,24396.7,22-Mar-18,24500,PE,100,50,318.95,217.1,101.85,T48,3,2018,101.85,101.85,1,,
13-03-2018,Tuesday,10:03,24624.6,24677.7,24624.6,24677.7,22-Mar-18,24900,PE,50,25,285.55,233.1,52.45,T49,3,2018,52.45,52.45,1,,
14-03-2018,Wednesday,10:03,24629.7,24662.15,24562.15,24594.6,22-Mar-18,24500,CE,100,50,339.1,389.55,-50.45,T50,3,2018,30.05,-19.95,0,,
15-03-2018,Thursday,11:15,24854.3,24884.25,24784.25,24814.2,22-Mar-18,24800,CE,100,50,265.65,316.8,-51.15,T51,3,2018,13.1,-36.9,0,,
16-03-2018,Friday,10:51,24753.7,24753.7,24701.8,24701.8,28-Mar-18,24800,PE,50,25,316.95,345.9,-28.95,T52,3,2018,12.6,-12.4,0,,
19-03-2018,Monday,10:03,24530.2,24598.7,24498.7,24567.2,28-Mar-18,24400,CE,100,50,385,284.95,100.05,T53,3,2018,100.05,100.05,1,,
20-03-2018,Tuesday,10:03,24133.9,24201.5,24133.9,24201.5,28-Mar-18,24200,PE,50,25,303,248.15,54.85,T54,3,2018,54.85,54.85,1,,
21-03-2018,Wednesday,10:03,24331.3,24399.4,24299.4,24367.5,28-Mar-18,24400,PE,100,50,254.85,309.8,-54.95,T55,3,2018,24.5,-25.5,0,,
22-03-2018,Thursday,10:18,24252.9,24285.4,24185.4,24217.9,28-Mar-18,24300,PE,100,50,201.65,253,-51.35,T56,3,2018,0.65,-49.35,0,,
23-03-2018,Friday,10:03,23785.7,23827.75,23727.75,23769.8,05-Apr-18,23700,CE,100,50,343.55,286,57.55,T57,3,2018,64.55,57.55,1,,
26-03-2018,Monday,10:03,23674.9,23746.6,23646.6,23718.3,05-Apr-18,23700,PE,100,50,229.95,115,114.95,T58,3,2018,114.95,114.95,1,,
27-03-2018,Tuesday,10:27,24396.4,24442.1,24342.1,24387.8,05-Apr-18,24400,PE,100,50,225.65,276.7,-51.05,T59,3,2018,1.8,-48.2,0,,
28-03-2018,Wednesday,11:36,24299.5,24333.3,24233.3,24267.1,05-Apr-18,24300,PE,100,50,201.75,252.9,-51.15,T60,3,2018,11.6,-38.4,0,,
03-04-2018,Tuesday,10:03,24285.9,24378.2,24285.9,24378.2,12-Apr-18,24400,PE,50,25,272.2,221.75,50.45,T62,4,2018,50.45,50.45,1,,
04-04-2018,Wednesday,10:06,24502.5,24549.65,24449.65,24496.8,12-Apr-18,24600,PE,100,50,240.05,291.45,-51.4,T63,4,2018,28.15,-21.85,0,,
05-04-2018,Thursday,10:15,24394.4,24466.3,24366.3,24438.2,12-Apr-18,24500,PE,100,50,220.45,119.95,100.5,T64,4,2018,100.5,100.5,1,,
09-04-2018,Monday,10:03,24848.8,24913.95,24813.95,24879.1,19-Apr-18,25000,PE,100,50,274.55,242.15,32.4,T66,4,2018,56.95,32.4,1,,
10-04-2018,Tuesday,10:03,25153.6,25223.95,25123.95,25194.3,19-Apr-18,25200,PE,100,50,260.6,245.15,15.45,T67,4,2018,32,15.45,1,,
11-04-2018,Wednesday,10:03,25198.3,25198.3,25117,25117,19-Apr-18,25000,CE,50,25,216,243.55,-27.55,T68,4,2018,0,-25,0,,
12-04-2018,Thursday,10:51,25076.9,25076.9,24987.3,24987.3,19-Apr-18,25100,PE,50,25,236.05,185.95,50.1,T69,4,2018,50.1,50.1,1,,
13-04-2018,Friday,10:03,25239.7,25309.55,25209.55,25279.4,26-Apr-18,25300,PE,100,50,285,336,-51,T70,4,2018,34.95,-15.05,0,,
